Date,Low (EUR),High (EUR),Volume (Billion)
2019-05-21,6729.59,6917.35,25127245056
2019-05-22,6534.52,6861.96,24719473174
2019-05-23,6463.49,6815.78,24457107820
2019-05-24,6713.38,6984.74,25919126990
2019-05-25,6834.81,6965.19,22256813106
2019-05-26,6799.37,7453.9,26677970091
2019-05-27,7437.76,7642.36,27949839563
2019-05-28,7408.6,7556.43,24226919266
2019-05-29,7278.19,7512.53,23473479966
2019-05-30,7053.86,7729.14,29246528551
2019-05-31,7012.06,7367.36,25365190957
2019-06-01,7277.2,7400.77,22488303543
2019-06-02,7345.55,7558.39,20266216022
2019-06-03,7039.2,7501.93,22004511436
2019-06-04,6490.34,7045.03,24609731548
2019-06-05,6579.72,6779.79,21760923463
2019-06-06,6496.33,6810.25,19474611077
2019-06-07,6682.43,6972.25,19141423230
2019-06-08,6724.68,6929.98,16522722809
2019-06-09,6506.41,6843.39,16610726547
2019-06-10,6509.42,6891.39,18689275117
2019-06-11,6669.07,6886.65,17107279931
2019-06-12,6745.91,7032.73,19034432883
2019-06-13,6938.71,7131.33,18669407147
2019-06-14,7021.36,7473.73,19831162905
2019-06-15,7394.59,7601.14,18371033226
2019-06-16,7562.9,8010.18,23348550310
2019-06-17,7712.5,8079.29,15562951918
2019-06-18,7726.21,8020.91,15848210535
2019-06-19,7782.41,7979.08,15546809946
2019-06-20,7921.48,8232.02,17846823783
2019-06-21,8172.52,8704.04,20624008643
2019-06-22,8671.84,9573.01,29995204860
2019-06-23,9057.14,9649.2,20998326501
2019-06-24,9103.76,9494.55,19271652364
2019-06-25,9444.19,10116.62,24879684533
2019-06-26,10086.31,11837.4,45105733173
2019-06-27,9002.02,11420.97,39977475222
2019-06-28,9364.65,10677.97,35087757765
2019-06-29,9874.2,10639.99,29923961127
2019-06-30,9265.56,10449.06,27256473494
2019-07-01,8656.64,9615.13,29378589324
2019-07-02,8355.11,9362.67,31015895222
2019-07-03,9281.99,10268.62,30796494293
2019-07-04,9580.93,10301.22,25920294033
2019-07-05,9330.73,9777.49,23838480210
2019-07-06,9423.03,9970.8,21092024306
2019-07-07,9565.68,9902.72,19369044276
2019-07-08,9775.52,10592.74,23482551458
2019-07-09,10496.15,10964.51,28167921522
2019-07-10,10048.03,11265.15,33627574244
2019-07-11,9574.37,10420.1,28595327690
2019-07-12,9591.72,10214.92,23534692796
2019-07-13,9359.48,10160.41,21042616383
2019-07-14,8781.28,9825.14,22486000001
2019-07-15,8573.15,9483.28,25384047206
2019-07-16,8106.48,9435.12,24151199069
2019-07-17,7861.98,8548.38,24569921548
2019-07-18,8045.3,9212.22,25187024648
2019-07-19,8777.03,9195.18,20727426309
2019-07-20,8967.2,9479.76,20206615154
2019-07-21,8914.29,9302.35,17130580467
2019-07-22,8712.93,9139.25,16334414913
2019-07-23,8480.13,8877.52,17851916994
2019-07-24,8249.08,8501.76,17398734321
2019-07-25,8386.06,8712.36,15821952090
2019-07-26,8338.04,8508.38,14495714483
2019-07-27,8075.09,8723.57,16817809536
2019-07-28,7938.48,8215.83,13738687092
2019-07-29,8127.8,8306.86,13791445323
2019-07-30,8097.24,8324.12,13829811132
2019-07-31,8235.18,8653.48,16631520647
2019-08-01,8513.1,8963.47,17165337857
2019-08-02,8898.34,9144.53,17489094081
2019-08-03,9012.02,9392.35,15352685060
2019-08-04,9112.21,9445.91,16530894786
2019-08-05,9404.32,10206.0,23875988832
2019-08-06,9687.46,10530.95,23635107659
2019-08-07,9810.13,10327.75,22194988641
2019-08-08,9915.2,10278.35,19481591729
2019-08-09,10046.97,10270.66,18339989959
2019-08-10,9715.91,10223.64,18125355447
2019-08-11,9651.05,9887.24,15774371517
2019-08-12,9713.39,9891.2,13647198229
2019-08-13,9292.43,9798.41,16681503536
2019-08-14,8604.15,9343.25,19990838299
2019-08-15,8301.43,8955.31,22899115082
2019-08-16,8456.01,9029.9,20228207096
2019-08-17,8654.4,8968.36,13778035685
2019-08-18,8682.19,8997.92,12999813869
2019-08-19,8848.74,9365.98,16038264603
2019-08-20,9111.08,9392.57,15053082175
2019-08-21,8548.02,9265.32,19473084767
2019-08-22,8435.4,8779.92,17097508856
2019-08-23,8647.1,8959.63,15627023886
2019-08-24,8564.82,8938.67,15451030650
2019-08-25,8587.55,8841.37,14153856609
2019-08-26,8688.37,9019.59,18438654079
2019-08-27,8654.91,8907.19,14762609502
2019-08-28,8336.9,8819.71,17603790323
2019-08-29,8083.77,8371.33,17045878500
2019-08-30,8089.49,8284.96,13595263986
2019-08-31,8178.29,8299.63,11454806419
2019-09-01,8222.17,8405.62,11445355859
2019-09-02,8348.91,8920.28,17248102293
2019-09-03,8844.74,9211.59,19384917988
2019-09-04,8952.99,9234.36,16742664768
2019-09-05,9023.1,9118.21,14551239507
2019-09-06,8830.8,9351.15,19536574782
2019-09-07,8879.38,9059.35,15307366476
2019-09-08,8931.01,9091.07,13670567492
2019-09-09,8704.36,8966.38,17595943367
2019-09-10,8597.66,8918.36,14906809639
2019-09-11,8563.51,8765.29,15428063426
2019-09-12,8665.16,8959.46,15323563925
2019-09-13,8774.43,8958.81,14109864674
2019-09-14,8830.28,8942.2,13468713124
2019-09-15,8848.64,8912.09,12043433567
2019-09-16,8742.81,8911.94,15160167778
2019-09-17,8751.39,8834.64,15304603363
2019-09-18,8744.29,8816.76,16169268880
2019-09-19,8452.76,8833.69,19937691247
2019-09-20,8693.42,8825.29,14734189639
2019-09-21,8580.62,8741.4,13425266806
2019-09-22,8513.54,8643.88,13199651698
2019-09-23,8345.9,8643.71,15144925408
2019-09-24,7182.16,8412.11,25002886688
2019-09-25,7143.2,7503.07,21744728352
2019-09-26,6774.46,7306.47,19258205289
2019-09-27,6834.77,7096.97,16408941155
2019-09-28,6971.63,7109.07,14141152736
2019-09-29,6855.85,7088.55,13034629108
2019-09-30,6718.8,7133.62,17115474183
2019-10-01,7063.65,7291.03,15305343412
2019-10-02,7059.37,7201.24,13125712442
2019-10-03,6989.65,7219.41,13668823409
2019-10-04,6993.77,7087.13,13139456229
2019-10-05,6925.03,7048.93,12200497197
2019-10-06,6828.7,7002.5,13160830305
2019-10-07,6783.15,7128.66,18009742607
2019-10-08,7023.39,7149.48,15592264032
2019-10-09,7009.27,7402.58,19384942333
2019-10-10,7268.93,7400.49,17618660671
2019-10-11,7135.29,7483.29,19604381101
2019-10-12,7132.85,7220.29,14532641604
2019-10-13,7101.34,7268.12,13808286058
2019-10-14,7107.79,7198.81,15151387859
2019-10-15,7020.77,7216.4,15220412631
2019-10-16,6851.21,7050.03,16071646995
2019-10-17,6864.82,6979.69,14313052244
2019-10-18,6780.06,6982.77,15651592610
2019-10-19,6816.63,6934.9,13797825640
2019-10-20,6820.63,7105.81,15504249442
2019-10-21,7032.53,7118.57,15868748865
2019-10-22,6927.9,7118.53,16803377856
2019-10-23,6408.69,6943.8,21942878957
2019-10-24,6389.52,6463.21,16268708848
2019-10-25,6417.83,7457.35,28705065488
2019-10-26,7432.54,8598.67,44496255608
2019-10-27,7818.57,8365.1,32593129500
2019-10-28,7941.78,8412.8,30948255331
2019-10-29,7921.62,8164.89,28426779937
2019-10-30,7795.26,8088.27,27706531577
2019-10-31,7746.65,8050.76,26583653946
2019-11-01,7835.3,7958.52,24324691031
2019-11-02,7936.15,8045.89,21242676385
2019-11-03,7843.2,8047.88,21132220847
2019-11-04,7886.3,8155.34,26170255634
2019-11-05,7942.46,8114.47,26198609047
2019-11-06,7984.48,8085.15,23133895764
2019-11-07,7895.63,8038.16,22700383838
2019-11-08,7529.42,7956.04,24333037836
2019-11-09,7544.54,7629.19,17578630605
2019-11-10,7555.69,7811.09,20587919881
2019-11-11,7465.13,7791.75,20265510765
2019-11-12,7452.1,7596.54,20309769107
2019-11-13,7517.5,7582.02,17545755404
2019-11-14,7458.22,7573.52,19084739974
2019-11-15,7280.0,7491.1,21796856471
2019-11-16,7270.68,7371.94,16495389808
2019-11-17,7293.84,7488.45,18668638896
